Refdatum,rki_7days,rki_14days,rki_28days
2020-01-03,0.17825311942959002,1.2477718360071302,1.2477718360071302
2020-01-04,0.53475935828877,1.8716577540106951,1.8716577540106951
2020-01-09,0.8912655971479501,2.0796197266785503,2.0796197266785503
2020-01-18,1.06951871657754,1.8716577540106951,1.8716577540106951
2020-01-27,1.2477718360071302,1.746880570409982,1.746880570409982
2020-02-03,1.4260249554367201,1.66369578134284,1.66369578134284
2020-02-25,1.6042780748663101,1.6042780748663101,1.6042780748663101
2020-03-04,1.6042780748663101,1.5597147950089125,1.5597147950089125
2020-03-05,1.7825311942959001,1.8023370964547434,1.8023370964547434
2020-03-07,1.9607843137254901,1.9964349376114083,1.9964349376114083
2020-03-08,2.6737967914438503,2.3821098687408844,2.3821098687408844
2020-03-09,4.09982174688057,3.119429590017825,3.119429590017825
2020-03-10,5.16934046345811,3.5513506101741394,3.5513506101741394
2020-03-11,7.4866310160427805,4.545454545454545,4.545454545454545
2020-03-12,9.62566844919786,5.614973262032085,5.323826500297089
2020-03-13,12.65597147950089,7.219251336898395,6.550802139037433
2020-03-14,16.93404634581105,9.44741532976827,8.147216105693614
2020-03-15,20.67736185383244,11.675579322638146,9.496930085165378
2020-03-16,22.816399286987522,13.458110516934045,10.376207899427714
2020-03-17,25.84670231729055,15.508021390374331,11.354723707664883
2020-03-18,28.520499108734402,18.003565062388592,12.537136066547829
2020-03-19,30.65953654188948,20.14260249554367,13.385188786258304
2020-03-20,32.263814616755795,22.45989304812834,14.376501588777804
2020-03-21,31.907308377896612,24.42067736185383,15.07724301841949
2020-03-22,30.481283422459892,25.579322638146166,15.372549019607844
2020-03-23,29.76827094474153,26.292335115864525,15.597147950089125
2020-03-24,28.69875222816399,27.27272727272727,15.851323694460948
2020-03-25,26.203208556149733,27.361853832442065,15.953654188948306
2020-03-26,25.49019607843137,28.074866310160427,16.844919786096256
2020-03-27,22.99465240641711,27.629233511586452,17.424242424242422
2020-03-28,21.390374331550802,26.648841354723707,18.048128342245988
2020-03-29,18.89483065953654,24.688057040998217,18.18181818181818
2020-03-30,17.64705882352941,23.707664884135472,18.58288770053476
2020-03-31,16.22103386809269,22.45989304812834,18.983957219251337
2020-04-01,15.32976827094474,20.766488413547236,19.385026737967912
2020-04-02,13.19073083778966,19.340463458110516,19.741532976827095
2020-04-03,13.19073083778966,18.092691622103384,20.276292335115862
2020-04-04,12.29946524064171,16.844919786096256,20.632798573975045
2020-04-05,11.94295900178253,15.418894830659536,20.49910873440285
2020-04-06,11.58645276292335,14.61675579322638,20.454545454545453
2020-04-07,10.87344028520499,13.547237076648841,20.409982174688057
2020-04-08,9.269162210338681,12.29946524064171,19.830659536541887
2020-04-09,8.02139037433155,10.606060606060606,19.340463458110516
2020-04-10,5.704099821746881,9.44741532976827,18.538324420677363
2020-04-11,4.634581105169341,8.467023172905526,17.557932263814617
2020-04-12,5.704099821746881,8.823529411764705,16.75579322638146
2020-04-13,4.81283422459893,8.19964349376114,15.953654188948306
2020-04-14,4.27807486631016,7.575757575757575,15.017825311942959
2020-04-15,4.634581105169341,6.95187165775401,13.859180035650622
2020-04-16,4.45632798573975,6.23885918003565,12.789661319073083
2020-04-17,6.23885918003565,5.971479500891265,12.032085561497325
2020-04-18,5.52584670231729,5.080213903743315,10.962566844919786
2020-04-19,4.81283422459893,5.258467023172905,10.338680926916222
2020-04-20,4.81283422459893,4.81283422459893,9.714795008912656
2020-04-21,4.81283422459893,4.545454545454545,9.046345811051692
2020-04-22,4.81283422459893,4.723707664884135,8.511586452762923
2020-04-23,5.16934046345811,4.81283422459893,7.709447415329768
2020-04-24,4.27807486631016,5.258467023172905,7.352941176470588
2020-04-25,4.45632798573975,4.991087344028521,6.729055258467023
2020-04-26,4.81283422459893,4.81283422459893,6.8181818181818175
2020-04-28,4.45632798573975,4.634581105169341,6.4171122994652405
2020-04-29,4.81283422459893,4.81283422459893,6.194295900178253
2020-04-30,4.81283422459893,4.81283422459893,5.88235294117647
2020-05-01,4.81283422459893,4.991087344028521,5.614973262032085
2020-05-02,4.09982174688057,4.188948306595365,5.080213903743315
2020-05-03,4.45632798573975,4.45632798573975,4.768270944741532
2020-05-05,4.45632798573975,4.634581105169341,4.946524064171123
2020-05-06,4.634581105169341,4.545454545454545,4.679144385026738
2020-05-08,4.27807486631016,4.545454545454545,4.545454545454545
2020-05-09,5.16934046345811,4.991087344028521,4.857397504456328
2020-05-11,4.81283422459893,4.81283422459893,4.81283422459893
2020-05-12,4.45632798573975,4.27807486631016,4.768270944741532
2020-05-13,3.9215686274509802,4.188948306595365,4.590017825311943
2020-05-14,3.9215686274509802,4.188948306595365,4.500891265597148
2020-05-15,4.27807486631016,4.45632798573975,4.545454545454545
2020-05-16,4.09982174688057,4.188948306595365,4.500891265597148
2020-05-19,3.2085561497326203,4.188948306595365,4.500891265597148
2020-05-20,3.2085561497326203,4.010695187165775,4.500891265597148
2020-05-21,3.5650623885918002,4.010695187165775,4.09982174688057
2020-05-23,3.5650623885918002,3.7433155080213902,4.09982174688057
2020-05-26,2.8520499108734403,3.3868092691622103,4.010695187165775
2020-05-27,2.3172905525846703,3.297682709447415,3.9215686274509802
2020-05-28,2.3172905525846703,3.2085561497326203,3.877005347593583
2020-06-06,1.9607843137254901,2.5846702317290555,3.7878787878787876
2020-06-10,1.9607843137254901,2.5846702317290555,3.698752228163993
2020-06-20,1.6042780748663101,2.5846702317290555,3.4313725490196076
2020-06-21,1.6042780748663101,2.5846702317290555,3.3868092691622103
