Impfdatum,Doppelt,Booster
2021-01-18,2.67379679144385e-05,0.0
2021-01-19,0.0005418894830659536,0.0
2021-01-20,0.0007825311942959002,0.0
2021-01-21,0.0014385026737967915,0.0
2021-01-22,0.001554367201426025,0.0
2021-01-24,0.0017219251336898396,0.0
2021-01-25,0.0019233511586452764,0.0
2021-01-26,0.0025775401069518715,0.0
2021-01-27,0.003299465240641711,0.0
2021-01-28,0.004067736185383244,0.0
2021-01-29,0.004618538324420677,0.0
2021-01-30,0.0051764705882352945,0.0
2021-01-31,0.005320855614973262,0.0
2021-02-01,0.006053475935828877,0.0
2021-02-02,0.007126559714795009,0.0
2021-02-03,0.008422459893048129,0.0
2021-02-04,0.009458110516934046,0.0
2021-02-05,0.010541889483065954,0.0
2021-02-06,0.011242424242424243,0.0
2021-02-07,0.011707664884135473,0.0
2021-02-08,0.012522281639928698,0.0
2021-02-09,0.014262032085561498,0.0
2021-02-10,0.015327985739750445,0.0
2021-02-11,0.016165775401069518,0.0
2021-02-12,0.017210338680926918,0.0
2021-02-13,0.01816934046345811,0.0
2021-02-14,0.01827807486631016,0.0
2021-02-15,0.019024955436720142,0.0
2021-02-16,0.020133689839572193,0.0
2021-02-17,0.020509803921568627,0.0
2021-02-18,0.021450980392156864,0.0
2021-02-19,0.022201426024955437,0.0
2021-02-20,0.02257040998217469,0.0
2021-02-21,0.023595365418894832,0.0
2021-02-22,0.024224598930481282,0.0
2021-02-23,0.024736185383244208,0.0
2021-02-24,0.025436720142602495,0.0
2021-02-25,0.02613903743315508,0.0
2021-02-26,0.02684313725490196,0.0
2021-02-27,0.027203208556149733,0.0
2021-02-28,0.027937611408199642,0.0
2021-03-01,0.02875222816399287,0.0
2021-03-02,0.02893939393939394,0.0
2021-03-03,0.029684491978609624,0.0
2021-03-04,0.03041711229946524,0.0
2021-03-05,0.031231729055258468,0.0
2021-03-06,0.03162566844919786,0.0
2021-03-07,0.03167557932263815,0.0
2021-03-08,0.03206773618538324,0.0
2021-03-09,0.032488413547237076,0.0
2021-03-10,0.03331016042780749,0.0
2021-03-11,0.034188948306595364,0.0
2021-03-12,0.035128342245989305,0.0
2021-03-13,0.03581818181818182,0.0
2021-03-14,0.03658288770053476,0.0
2021-03-15,0.03797504456327986,0.0
2021-03-16,0.04068805704099822,0.0
2021-03-17,0.04219073083778966,0.0
2021-03-18,0.043759358288770055,0.0
2021-03-19,0.045591800356506236,0.0
2021-03-20,0.04670231729055258,0.0
2021-03-21,0.04744385026737968,0.0
2021-03-22,0.04883065953654189,0.0
2021-03-23,0.05267914438502674,0.0
2021-03-24,0.05442067736185383,0.0
2021-03-25,0.05585739750445633,0.0
2021-03-26,0.057103386809269165,0.0
2021-03-27,0.058522281639928696,0.0
2021-03-28,0.05988770053475936,0.0
2021-03-29,0.06100891265597148,0.0
2021-03-30,0.06230837789661319,0.0
2021-03-31,0.06337967914438503,0.0
2021-04-01,0.06429411764705882,0.0
2021-04-02,0.06519607843137255,0.0
2021-04-03,0.06616577540106952,0.0
2021-04-05,0.06654901960784314,0.0
2021-04-06,0.06672905525846702,0.0
2021-04-07,0.06720320855614974,0.0
2021-04-08,0.06723529411764706,0.0
2021-04-09,0.06728163992869875,0.0
2021-04-10,0.06745098039215686,0.0
2021-04-11,0.0681319073083779,0.0
2021-04-12,0.06815864527629234,0.0
2021-04-13,0.06834046345811051,0.0
2021-04-14,0.06909803921568627,0.0
2021-04-15,0.06970231729055258,0.0
2021-04-16,0.0700427807486631,0.0
2021-04-17,0.07011408199643494,0.0
2021-04-18,0.0701711229946524,0.0
2021-04-19,0.07042424242424243,0.0
2021-04-20,0.07075044563279857,0.0
2021-04-21,0.07173618538324421,0.0
2021-04-22,0.07276648841354724,0.0
2021-04-23,0.07358823529411765,0.0
2021-04-24,0.07498039215686275,0.0
2021-04-25,0.07777896613190731,0.0
2021-04-26,0.07984135472370767,0.0
2021-04-27,0.08283957219251337,0.0
2021-04-28,0.08584135472370766,0.0
2021-04-29,0.0897789661319073,0.0
2021-04-30,0.09211942959001783,0.0
2021-05-01,0.09307664884135472,0.0
2021-05-02,0.09431550802139037,0.0
2021-05-03,0.09516042780748662,0.0
2021-05-04,0.0967860962566845,0.0
2021-05-05,0.09992513368983957,0.0
2021-05-06,0.10490374331550802,0.0
2021-05-07,0.10922281639928699,0.0
2021-05-08,0.11244206773618538,0.0
2021-05-09,0.11503030303030302,0.0
2021-05-10,0.11777718360071301,0.0
2021-05-11,0.12267736185383245,0.0
2021-05-12,0.12710338680926916,0.0
2021-05-13,0.12857932263814617,0.0
2021-05-14,0.13124598930481282,0.0
2021-05-15,0.13264171122994653,0.0
2021-05-16,0.13389483065953653,0.0
2021-05-17,0.1357450980392157,0.0
2021-05-18,0.1388342245989305,0.0
2021-05-19,0.14419073083778966,0.0
2021-05-20,0.14899643493761142,0.0
2021-05-21,0.15296078431372548,0.0
2021-05-22,0.15473440285204992,0.0
2021-05-23,0.15604991087344028,0.0
2021-05-24,0.15829590017825312,0.0
2021-05-25,0.1610463458110517,0.0
2021-05-26,0.16809447415329767,0.0
2021-05-27,0.17231907308377897,0.0
2021-05-28,0.1751336898395722,0.0
2021-05-29,0.17636185383244207,0.0
2021-05-30,0.1777825311942959,0.0
2021-05-31,0.17927272727272728,0.0
2021-06-01,0.18373083778966132,0.0
2021-06-02,0.19000713012477718,0.0
2021-06-03,0.19580570409982176,0.0
2021-06-04,0.20011408199643493,0.0
2021-06-05,0.20273262032085562,0.0
2021-06-06,0.20541176470588235,0.0
2021-06-07,0.2073386809269162,0.0
2021-06-08,0.2118324420677362,0.0
2021-06-09,0.21805882352941178,0.0
2021-06-10,0.22407130124777183,0.0
2021-06-11,0.22863992869875222,0.0
2021-06-12,0.23019251336898397,0.0
2021-06-13,0.23155436720142603,0.0
2021-06-14,0.23505882352941176,0.0
2021-06-15,0.2414795008912656,0.0
2021-06-16,0.24968627450980393,0.0
2021-06-17,0.25620677361853833,0.0
2021-06-18,0.2621657754010695,0.0
2021-06-19,0.26546524064171123,0.0
2021-06-20,0.2686417112299465,0.0
2021-06-21,0.2722513368983957,0.0
2021-06-22,0.27763458110516936,0.0
2021-06-23,0.28324777183600713,0.0
2021-06-24,0.2881283422459893,0.0
2021-06-25,0.2936185383244207,0.0
2021-06-26,0.2965525846702317,0.0
2021-06-27,0.2986524064171123,0.0
2021-06-28,0.30306773618538324,0.0
2021-06-29,0.3090926916221034,0.0
2021-06-30,0.31658110516934046,0.0
2021-07-01,0.322048128342246,0.0
2021-07-02,0.3249607843137255,0.0
2021-07-03,0.3259625668449198,0.0
2021-07-04,0.32691978609625666,0.0
2021-07-05,0.33023885918003565,0.0
2021-07-06,0.33443315508021393,0.0
2021-07-07,0.3404420677361854,0.0
2021-07-08,0.34589661319073084,0.0
2021-07-09,0.3505311942959002,0.0
2021-07-10,0.3509126559714795,0.0
2021-07-11,0.35179322638146165,0.0
2021-07-12,0.3543065953654189,0.0
2021-07-13,0.3593368983957219,0.0
2021-07-14,0.36658645276292334,0.0
2021-07-15,0.373825311942959,0.0
2021-07-16,0.3778270944741533,0.0
2021-07-17,0.3784973262032086,0.0
2021-07-18,0.37985561497326203,0.0
2021-07-19,0.38219251336898397,0.0
2021-07-20,0.3866898395721925,0.0
2021-07-21,0.3922174688057041,0.0
2021-07-22,0.3989429590017825,0.0
2021-07-23,0.40412477718360074,0.0
2021-07-24,0.40628698752228165,0.0
2021-07-25,0.4083386809269162,0.0
2021-07-26,0.4115365418894831,0.0
2021-07-27,0.41631729055258465,0.0
2021-07-28,0.4223921568627451,0.0
2021-07-29,0.4278270944741533,0.0
2021-07-30,0.4332121212121212,0.0
2021-07-31,0.43625668449197863,0.0
2021-08-01,0.4383422459893048,0.0
2021-08-02,0.44136541889483066,0.0
2021-08-03,0.4450035650623886,0.0
2021-08-04,0.4484474153297683,0.0
2021-08-05,0.4514028520499109,0.0
2021-08-06,0.45371657754010697,0.0
2021-08-07,0.45481818181818184,0.0
2021-08-08,0.4556310160427807,0.0
2021-08-09,0.4576452762923351,0.0
2021-08-10,0.46007130124777185,0.0
