GENESIS-Tabelle: 12411-0012
Bevölkerung: Bundesländer, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.2020;45-Jährige;129455;156440;43168;27304;7822;23341;74782;16213;88630;203262;45202;10142;42730;21162;32830;21565
31.12.2020;46-Jährige;132255;158581;42112;26709;7645;23258;76096;15869;91311;205988;45648;10301;42165;21713;32836;22306
31.12.2020;47-Jährige;131444;157930;40770;27182;7791;22755;76183;16297;93029;208303;46512;10362;42595;22596;33860;23090
31.12.2020;48-Jährige;141646;169865;42373;30089;8200;23549;81298;17789;101561;224596;50537;11447;46549;25924;36856;25936
31.12.2020;49-Jährige;151947;183178;46445;35186;8724;25001;87479;20549;111408;245175;55249;12657;54177;30668;41197;29065
31.12.2020;50-Jährige;157787;189700;47029;35726;9076;25511;91298;21077;116551;255587;57805;13090;54067;30911;42940;29690
31.12.2020;51-Jährige;168679;204517;48875;37138;9686;26485;97470;21807;126349;279492;62543;14579;54448;31912;47626;30012
31.12.2020;52-Jährige;175829;212675;51212;39270;10257;28350;101951;23268;132408;292185;66025;15610;55288;32775;50470;30478
31.12.2020;53-Jährige;179149;217245;51341;41333;10316;28430;103405;24330;136224;298179;67705;16150;57087;34170;52319;31503
31.12.2020;54-Jährige;182455;218293;53368;44287;10564;28545;105015;26286;138312;304654;70184;16800;60305;35528;52529;33699
31.12.2020;55-Jährige;181134;216003;54751;46075;10599;27567;104978;27772;136639;302344;70192;17142;62659;37198;51557;34747
31.12.2020;56-Jährige;183319;218831;55538;47799;10453;27787;105385;29175;137453;305439;71557;17555;65109;38650;51954;36568
31.12.2020;57-Jährige;180338;214981;55060;49141;10175;26519;103041;30309;134903;298750;71303;17586;65831;39935;50413;37322
31.12.2020;58-Jährige;173988;207614;52204;48593;10009;24553;98640;30203;129954;285583;69329;17368;64529;39380;47814;36882
31.12.2020;59-Jährige;169971;203562;49336;47837;9446;23448;95573;30427;128273;278983;68746;17557;64390;39185;46509;37896
31.12.2020;60-Jährige;164309;194468;47004;45708;9157;22667;92069;29652;122098;271863;66206;16915;61707;37934;44203;35975
