__timestamp,Abwasser 7T,Abwasser Täglich
2021-02-02 00:00:00+00:00,0.0,132550.55131635786
2021-02-07 00:00:00+00:00,132550.55131635786,49396.03654646449
2021-02-08 00:00:00+00:00,181946.58786282237,150141.86263423885
2021-02-10 00:00:00+00:00,199537.89918070333,17000.0
2021-02-11 00:00:00+00:00,216537.89918070333,7600.0
2021-02-14 00:00:00+00:00,224137.89918070333,9000.0
2021-02-15 00:00:00+00:00,183741.86263423885,0.0
2021-02-16 00:00:00+00:00,33600.0,3000.0
2021-02-18 00:00:00+00:00,19600.0,18959.22692209786
2021-02-21 00:00:00+00:00,30959.22692209786,0.0
2021-02-22 00:00:00+00:00,21959.22692209786,84302.32226823214
2021-02-23 00:00:00+00:00,106261.54919033,111769.22357008129
2021-02-24 00:00:00+00:00,215030.7727604113,257083.05476014374
2021-02-25 00:00:00+00:00,472113.827520555,81884.95519441632
2021-02-28 00:00:00+00:00,535039.5557928735,161972.51787153838
2021-03-01 00:00:00+00:00,697012.0736644119,0.0
2021-03-02 00:00:00+00:00,612709.7513961798,0.0
2021-03-03 00:00:00+00:00,500940.5278260985,0.0
2021-03-04 00:00:00+00:00,243857.4730659547,0.0
2021-03-05 00:00:00+00:00,161972.51787153838,0.0
2021-03-06 00:00:00+00:00,161972.51787153838,0.0
2021-03-07 00:00:00+00:00,161972.51787153838,0.0
2021-03-08 00:00:00+00:00,0.0,0.0
2021-03-09 00:00:00+00:00,0.0,0.0
2021-03-10 00:00:00+00:00,0.0,0.0
2021-03-11 00:00:00+00:00,0.0,0.0
2021-03-12 00:00:00+00:00,0.0,0.0
2021-03-13 00:00:00+00:00,0.0,0.0
2021-03-14 00:00:00+00:00,0.0,0.0
2021-03-15 00:00:00+00:00,0.0,226133.72846839073
2021-03-16 00:00:00+00:00,226133.72846839076,230627.26446981457
2021-03-17 00:00:00+00:00,456760.9929382053,135312.56937597846
2021-03-18 00:00:00+00:00,592073.5623141838,154785.77778071785
2021-03-19 00:00:00+00:00,746859.3400949016,221727.7444129295
2021-03-20 00:00:00+00:00,968587.0845078313,314928.0180624413
2021-03-21 00:00:00+00:00,1283515.1025702723,447303.77257630293
2021-03-22 00:00:00+00:00,1730818.8751465755,342958.01135345816
2021-03-23 00:00:00+00:00,1847643.158031643,223186.78376092698
2021-03-24 00:00:00+00:00,1840202.6773227556,288242.11144620576
2021-03-25 00:00:00+00:00,1993132.2193929823,317000.34496657585
2021-03-26 00:00:00+00:00,2155346.7865788406,57682.17378350284
2021-03-27 00:00:00+00:00,1991301.2159494136,168562.3999416526
2021-03-28 00:00:00+00:00,1844935.597828625,165821.0340447273
2021-03-29 00:00:00+00:00,1563452.8592970497,178226.5505342053
2021-03-30 00:00:00+00:00,1398721.3984777967,151273.03910510056
2021-03-31 00:00:00+00:00,1326807.6538219703,194089.505651664
2021-04-01 00:00:00+00:00,1232655.0480274283,188444.77372365963
2021-04-02 00:00:00+00:00,1104099.4767845122,432027.2072011024
2021-04-03 00:00:00+00:00,1478444.5102021117,334520.0407693541
2021-04-04 00:00:00+00:00,1644402.151029813,302183.9556288732
2021-04-05 00:00:00+00:00,1780765.0726139592,259870.75119307134
2021-04-06 00:00:00+00:00,1862409.273272825,303176.55884711986
2021-04-07 00:00:00+00:00,2014312.7930148449,212058.61640034884
2021-04-08 00:00:00+00:00,2032281.9037635291,287678.9871353539
2021-04-09 00:00:00+00:00,2131516.117175224,265905.2570361345
2021-04-10 00:00:00+00:00,1965394.167010256,363101.1094168954
2021-04-11 00:00:00+00:00,1993975.235657797,433446.3149606304
2021-04-12 00:00:00+00:00,2125237.594989554,405929.8302976325
2021-04-13 00:00:00+00:00,2271296.6740941154,475131.03838491463
2021-04-14 00:00:00+00:00,2443251.1536319098,487761.0772542274
2021-04-15 00:00:00+00:00,2718953.614485788,259019.93164111307
2021-04-16 00:00:00+00:00,2690294.558991548,424438.8046552817
2021-04-17 00:00:00+00:00,2848828.106610696,413996.12062437314
2021-04-18 00:00:00+00:00,2899723.117818173,394124.11691855406
2021-04-19 00:00:00+00:00,2860400.9197760965,354860.82191441586
2021-04-20 00:00:00+00:00,2809331.91139288,343412.3268465658
2021-04-21 00:00:00+00:00,2677613.199854532,229423.09851018531
2021-04-22 00:00:00+00:00,2419275.221110489,196008.41014547664
2021-04-23 00:00:00+00:00,2356263.699614852,299225.6022093237
2021-04-24 00:00:00+00:00,2231050.4971688944,340050.351425575
2021-04-25 00:00:00+00:00,2157104.7279700963,449367.5486445535
2021-04-26 00:00:00+00:00,2212348.159696096,289572.0067163445
2021-04-27 00:00:00+00:00,2147059.3444980243,192189.38705817884
2021-04-28 00:00:00+00:00,1995836.4047096376,134869.55461143775
2021-04-29 00:00:00+00:00,1901282.86081089,173951.40945024515
2021-04-30 00:00:00+00:00,1879225.8601156585,217695.60567558857
2021-05-01 00:00:00+00:00,1797695.8635819233,443511.4504492342
2021-05-02 00:00:00+00:00,1901156.9626055823,233981.99805912035
2021-05-03 00:00:00+00:00,1685771.4120201494,202542.83288275427
2021-05-04 00:00:00+00:00,1598742.2381865592,192189.38705817884
2021-05-05 00:00:00+00:00,1598742.2381865592,234750.57388837615
